"info-job__text","info-company__text","info-company-addon-type","info-tags__text","info-tags__text 2","info-tags__text 3","info-tags__text 4","info-description","text-highlight","info-othertags__text","info-othertags__text 2","info-othertags__text 4","info-othertags__text 5","last-processed-resume-at-text","date-container","actively-hiring-tag","text-highlight 6","last-cust-reply-text"
"AI資料科學分析人員","第一銀行_第一商業銀行股份有限公司","銀行業","台北市中正區","經歷不拘","大學","待遇面議","【工作內容】
1.生成式AI、機器學習、深度學習或統計分析模型專案開發。
2.配合技術發展目標，研究與實作可落地應用之新型態模型技術。
3.建立生成式AI技術輔助各類型銀行需求使用，包含RAG架構流程、向量知識庫取用、Prompt設計、微","數據","上市上櫃","年終獎金","津貼/補助","員工宿舍","2 天內處理過履歷","","","",""
"統一超商技術經理(客戶資料平台CDP)","統一超商股份有限公司","百貨相關業","台北市信義區","8年以上","大學","月薪50,000~120,000元","職位介紹：作為資料科學經理，您將帶領一支包含資料科學家與資料工程師的團隊，負責建置並維運大規模資料處理流程，並運用機器學習與人工智慧技術產出洞察，支援公司決策與產品優化。此職位需要針對龐大且多元的資料進行整合與分析，確保系統具備高可用性與擴充彈性，並與其他團隊（如工程、行銷、產品）密切合作，制定資料驅動的策略與專案。
職責：
● 訂定團隊目標與期望，培養以成長為導向的團隊文化，並適時提供回饋與指導。
● 策畫並推動資料科學技術與工具的路線圖，導入適當的機器學習平台與基礎建設。
● 監督並指導資料科學家與資料工程師的工作流程，確保在資料蒐集、處理、建模和部署各環節都符合最佳實務。
● 與各部門合作，理解業務需求並定義專案範疇，確保資料分析結果能夠真實落地並帶來效益。
● 建立並維護資料安全與合規機制，確保組織在使用資料時符合隱私與合規要求。","","上市上櫃","節日獎金/禮品","子女教育獎助學金","員工旅遊","1 小時前處理過履歷","","","",""
"","五號館有限公司","電腦軟體服務業","台北市中正區","經歷不拘","碩士","月薪35,000~40,000元","輕公司。開發項目著重於環境、地下水、精準農業等領域大分析及服務，主要工作內容會是環境資料分析以及演算法開發。

***工作內容***
1. 取得碩士學位，具有地下水、水利工程、水資源、或地球科學相關背景。
2. 申請與執行研究計畫。
3. 具備","數據","年終獎金","節日獎金/禮品","不用補班","彈性上下班","2 天內處理過履歷","4/28","積極徵才中","",""
"","華權數位整合行銷有限公司","廣告行銷公關業","台中市烏日區","1年以上","大學","月薪40,000~65,000元","主要工作述敘：
1. 分析與精算：
■分析遊戲玩家行為、直播主表現，協助優化遊戲與直播內容。
■構建和運用統計模型，支持業務決策與獎金制度的執行。
■定期進行業務的監測與報告，找出增長機會和優化空間。

2. 獎金分潤制度規劃：","數據","年終獎金","節日獎金/禮品","彈性上下班","免費下午茶","7 小時前處理過履歷","5/01","積極徵才中","數據",""
"通路","中嘉數位股份有限公司","網際網路相關業","台北市內湖區","1年以上","大學","待遇面議","一位同事都能得到應得的獎勵。
• 配合主管臨時交辦事項，快速響應並提供解決方案。

【所需技能】
• 熟悉SQL語法，具有至少1年以上的相關工作經驗，能獨立完成處理任務。
• 熟悉MS SQL、TSQL、SP(stored procedure)","數據","距捷運港墘站約500公尺","年終獎金","津貼/補助","交通補助","2 天內處理過履歷","4/15","","",""
"庫存管理及","詠翔股份有限公司","綜合商品批發代理業","新北市新莊區","經歷不拘","大學","月薪40,000~45,000元","此職位需要和美國各處的銷售點保有良性的溝通, 並且能夠時時刻刻了解當地的銷售量及庫存狀況, 安排至之職位如下:
1. 時時刻刻掌握美國六個倉庫的庫存狀況, 並提出採購建議
2. 假設有特定商品忽然大量出貨, 能即時提出警示, 並協調調或下單
3. 了解美國端採購的習性, 並作為台美兩公司的協調窗口
4. 熟悉Excel 的使用, 並且能夠製作分析報表
5. 對數字有一定程度的敏感度, 能主動發現問題","","距捷運新北產業園區站約490公尺","年終獎金","津貼/補助","員工旅遊","","4/18","","",""
"廣告","維肯媒體股份有限公司","廣告行銷公關業","台北市信義區","2年以上","專科","月薪40,000元以上","維肯致力於以『』出發，貫穿媒體、企劃及數位製作三大面向。
我們期待對數字富有敏銳度、熟悉各種分析工具、且能洞察背後趨勢，並將其應用於實際操作的人才加入我們，共同為品牌發揮最大價值。
如果你符合以下條件，立即自薦，成為我們的一員吧！","數據","距捷運國父紀念館站約500公尺","年終獎金","津貼/補助","生日假","1 天內處理過履歷","4/28","","數據",""
"TaiwanPlus-","財團法人公共電視文化事業基金會","電視業","台北市中山區","1年以上","大學","待遇面議","databases using SQL (preferred but not required).

TaiwanPlus為公共電視旗下之英語媒體品牌。目前正招募具有網站與社群分析經驗的。此職位須具有良好英語溝通及撰寫報告能力。

工作","數據分析師","距捷運行天宮站約150公尺","年終獎金","津貼/補助","不扣薪病/事假","1 天內處理過履歷","3/21","","",""
"行銷企劃中心【行銷】","零壹科技股份有限公司_Zero One Tech","電腦系統整合服務業","台北市內湖區","2年以上","大學","月薪40,000~45,000元","1.熟悉行銷科技與社群媒體宣傳工具，執行 GDN、FB、Line及其他第三方廣告媒體操作，GTM設定與監控並優化追蹤，以達預期效益
2.整合虛實全通路，管理及維護顧客、分析資料庫及媒體相關工具，分析客戶數位軌跡與行為樣貌，掌握潛在目標客群","數據","上市上櫃","距捷運西湖站約340公尺","節日獎金/禮品","津貼/補助","2 天內處理過履歷","4/30","","",""
"【精品代理】   商業分析居多!!! 積極招募中!!","新加坡商艾得克有限公司台灣分公司","人力仲介代徵","台北市大安區","3年以上","大學","年薪1,000,000~1,250,000元","職責:
協助集團系統創新經理進行數位轉型專案的研究與執行。
整合各類電子商務平台與ERP系統，確保高效同步並實現工作流程自動化。
建立並維護可視化儀表板，使用 Google Looker Studio 或 Microsoft Power","數據","外商公司","免費下午茶","專業證照獎金","","","5/01","","",""
