OCCU_DESC,WK_TYPE,CJOB1_COUNT,CJOB_NAME1,CJOB2_COUNT,CJOB_NAME2,JOB_PERSON,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,NT_L,NT_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE
"兼職人員",全職,22,其他職類,220101,兼職人員,10,額滿為止,"內場兼職-1.麵食、麵點、炒台類產品製作即出餐品質控管。2.廚房環境衛生與清潔維護。3.協助備品收納和食材收貨整理。外場兼職-1負責帶位、點餐及送餐。2.收拾清潔碗盤、整理桌面及周邊環境。3.外帶/外送餐點打包及品項確認。工作時段09:00~22:00時段內排班，每次至少排班4小時",台北市不限,無,日班、中班,時薪,195,-,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1081723&HIRE_ID=13464609","漢記股份有限公司",20250430
"就業服務員",全職,01,經營／行政／總務,010206,行政助理,1,20250514,"辦理勞動部「補助地方政府辦理身心障礙者支持性就業服務計畫」相關業務及其他交辦事項等。",台北市萬華區,無,日班,月薪,36180,36180,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1151189&HIRE_ID=13507259","臺北市勞動力重建運用處",20250429
"【杏子豬排】台北凱撒店-內外場儲備幹部",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,3,20250503,"↗外場服務夥伴↙1. 餐桌佈置及整潔服務2. 顧客接待及座位安排3. 回覆顧客點餐需求與提供建議4. 提供顧客桌邊服務5. 內場廚房支援備料6. 整潔門市環境與餐具保養↗內場服務夥伴↙1.負責洗、剝、削、切各種食材，以完成烹飪的前置工作2.協助廚師測量食材的容量與重量3.分切流程作業4.食材分裝分包",台北市中正區,無,日班、夜班,月薪,35000,40000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2311647&HIRE_ID=13375129","王座國際餐飲股份有限公司",20250303
"『最高時薪270元！』信義區計時社員聯合募集-KCLD1",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,額滿為止,"【薪　　資】 無經驗    ：起薪190元 (含10元PT津貼為200元)有經驗　：起薪210元 (含10元PT津貼為220元)視經驗調整起薪，最高可達270元(含10元津貼)【工作內容】內場店員：擺盤傳菜、食材準備、食材調理、廚房清理及維護環境、主管交辦事項等。外場店員：接待及引導、餐點酒水介紹、協助顧客點餐、桌邊服務及維護環境。 主管交辦事項等。 依照學習狀況習得技能加薪【工作需求】 9:00~00:00 區間排班；每週排班，可彈性調整",台北市信義區,無,日班、夜班,時薪,190,270,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=933158&HIRE_ID=13425223","乾杯股份有限公司",20250320
"『最高41.5K』老乾杯 SOGO復興店-外場店員 多元獎金等你拿C12D1",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,額滿為止,"【薪　　資】本薪33000元+MASTER津貼3500元=36500元獎金另計，最高可達41500元。以上薪資不含加班費。加班費另計。【工作內容】外場工作：接待及引導、餐點酒水介紹、協助顧客點餐、桌邊服務及維護環境。 主管交辦事項等，依照學習狀況習得技能加薪。【工作需求】班別分為：早、中、晚班每週排休兩天，每週排班，國定假日可再額外排休",台北市大安區,無,日班、夜班、中班,月薪,33000,41500,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=933158&HIRE_ID=13417535","乾杯股份有限公司",20250320
"【M One Café-信義A11】內場服務人員-月薪34，000～43，000",全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,3,20331231,"1. 依照標準SOP，執行菜口、炒台、煎台各工作站之職務。2. 確保餐點品質符合食品安全衛生與製餐流程。3. 維持工作區域的環境整潔。4. 食材進貨整理及存量控制。5. 從基層培育為營運幹部，學習管理內場事務及營運管理，共同達成團隊目標。為了讓夥伴更容易融入，入職後我們替你做到：保證有專屬老師帶領你完整的訓練流程，也有店長固定時間的關心，同事的互相關懷更不可少！【員工福利】(1)保險項目 : 團保(2)休假制度 : 月排休8-10天(年度例休及國定假日)(3)員工福利 ※獎金福利 : 全勤獎金、年終獎金、班別津貼、語言津貼※健康福利 : 年度健康檢查※旅遊福利 : 年度員工海內外旅遊※生日福利 : 生日禮券※節慶福利 : 年度大型春酒活動※其他福利 : 供膳、員工制服、員工消費折扣※福委福利 : 中秋禮金(禮盒) 、端午禮金及肉粽、聚餐活動、                       每年不定期發放電影票或消費禮券(4)教育訓練 ※新人訓練 : 新進職前訓練※在職訓練 : 1.在職訓練 2.公費外部訓練3.管理職能 4.語言能力除了認真工作，我們也認真玩樂！2019年疫情前最後一國外員工旅遊我們去＿越南＿，疫情期間台灣走透透！平時認真工作，員工活動認真獎勵，是我們M One Café 的傳統。M One Café誠摯歡迎對內場職務 具有興趣、熱忱、喜歡團隊合作的您加入。只要您具備 責任感、適應力強、抗壓性佳，快來成為我們享受工作的夥伴吧！",台北市信義區,無,,月薪,34000,43000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2336843&HIRE_ID=12232115","橘色涮涮屋火鍋店",20230906
"(PT)餐廳-洗碗員",兼職,16,旅遊／餐飲／休閒,160208,廚務清潔員,2,20251231,"負責廚房餐具、碗盤洗滌工作。 ",台北市松山區,無,日班、夜班、部份工時：時分至時分,時薪,200,-,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2308605&HIRE_ID=13466165","文華精品股份有限公司",20250430
"證券營業員",全職,04,財務／金融／保險,040206,證券營業員,3,20250617,"幫助客戶買賣股票、債券、基金、期貨等金融產品，且根據客戶的財務狀況和需求，提供量身定制的財務規劃和投資建議。",台北市中山區,無,日班,月薪,30000,40000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2564067&HIRE_ID=13484267","永豐金證券中正分公司",20250417
"辦公室清潔員",全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,2,額滿為止,"辦公室環境、廁所清潔打掃。中午休息11:30-13:30",台北市士林區,無,日班,月薪,30000,32000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2566629&HIRE_ID=13483981","玖富國際有限公司",20250417
"房務組-房務員",全職,16,旅遊／餐飲／休閒,160105,房務員,2,20250616,"1.負責客房的清潔與保養工作。2.客房備品接收與發送。 3.協助客房備品管控與耗損。4.公共區域清潔工作。5.其他主管交辦事項。",台北市南港區,無,日班、夜班、輪班三班制、中班,月薪,32000,-,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2519099&HIRE_ID=13480957","漢來國際飯店股份有限公司台北分公司",20250430
"金融通路營業部－辦事員/專員",全職,01,經營／行政／總務,010206,行政助理,2,20250607,"1. 銀行通路業務維護2. 通路業務績效報表製作3. 通路簽署文件整理",台北市中正區,無,日班,月薪,33000,-,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=86161&HIRE_ID=13456055","兆豐產物保險股份有限公司",20250430
"一条通-內場兼職人員【台北】",兼職,16,旅遊／餐飲／休閒,160206,廚師助理,10,20250528,"1、各類餐點製作、出餐品質控管。2、內場環境清潔，遵守環境衛生規範。3、庫存盤點。",台北市中山區,無,輪班二班制、部份工時：時分至時分,時薪,195,-,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2387965&HIRE_ID=13446191","誠邦食品股份有限公司",20250407
"居家照顧服務員",兼職,17,醫療／美容／保健,170113,照顧服務員,15,20250525,"長照居家服務B碼服務。身體清潔、餐食照顧、協助沐浴、肢體關節運動、陪同外出、代購…等。",台北市士林區,無,日班、部份工時：時分至時分,時薪,200,250,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2395673&HIRE_ID=13432565","臺北市私立跑居家長照機構",20250325
"誠徵早晚班/假日班工讀生※過學習期時薪$210起※☆三大獎金☆無經驗可☆",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,額滿為止,"負責餐飲場所的內外場事務、顧客菜單諮詢、點餐供餐及環境清潔。☀️工作內容：1. 煮茶備料2. 點餐3. 調製飲料4. 店內清潔👍🏻須能獨當一面👍🏻刻苦耐勞、認真負責、親和力佳👍🏻手腳俐落、抗壓性佳👍🏻調薪＋獎金制度👍🏻學習期間$190/H，正式上線$210/H起可到職日：即時上班時間：16:00-22:00或17:00-22:00 或 17:30-22:00可選擇只上晚班或早晚輪班(含假日)，適合時間彈性的求職者。享勞健保尾牙/春酒聚餐三節禮金全勤獎金營業獎金年終獎金員工福利🌸🌸須長期配合，短期勿試🌸🌸⛔️⛔️不接受只應徵寒暑假⛔️⛔️歡迎✅二度就業✅交換學生（需能中文溝通）一起加入冰饌紅茶粉圓的行列喔🤗",台北市信義區,無,日班、夜班,時薪,190,250,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2565945&HIRE_ID=13480415","淳品商行",20250428
"★☆★2025年中盛大開幕★☆★【點點心-ATT信義店】高級服務專員~(月薪34000元起) ✦另享最高【$2,640元】出勤獎勵金✦",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,額滿為止,"1. 執行桌邊及餐食服務，如倒水、點菜、送菜、撤桌..等工作。2. 負責開餐前準備工作，補齊工作站內之餐具及備品。3. 維持負責區域之整潔，以提供顧客舒適乾淨的用餐環境。 4. 其他主管交辦事項。5. 無經驗可、願接受全新培訓，可配合輪班者。★☆ 每月出勤時數達65小時以上，且符合出勤規範標準者，每小時額外加發【$15元】出勤獎勵金，每月最高可領【$2,640元】。『例如』當月份沒有請/休假，每月正常出勤時數應為176小時，核發獎勵金為：$15元ｘ176小時= $2,640元；如有加班，另計。------------------------------------------------------------------------※開幕前，將安排您至鄰近的門市受訓※※預計2025年中盛大開幕！其他條件★經面試錄取，報到需繳交餐飲業(供膳檢查)體檢合格報告。",台北市信義區,無,日班、夜班,月薪,34000,-,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2260963&HIRE_ID=13509021","點點心股份有限公司",20250501
