1,ASUS VivoBook 15,1,22900.00,15,15.6吋FHD/i5-1135G7/8G/512G PCIe SSD,2025-04-18 21:12:12.300
2,Acer Swift 3,1,25900.00,10,14吋FHD/Ryzen 5 5500U/8G/512G PCIe SSD,2025-04-18 21:12:12.300
3,MSI Modern 14,1,21900.00,8,14吋FHD/i5-1135G7/8G/512G PCIe SSD,2025-04-18 21:12:12.300
4,Apple MacBook Air M2,1,39900.00,12,13.6吋/M2晶片/8G/256G SSD,2025-04-18 21:12:12.300
5,Apple iPhone 14,2,27900.00,20,6.1吋/A15晶片/128G儲存空間,2024-04-18 21:12:12.300
6,Samsung Galaxy S23,2,25900.00,15,6.1吋/高通驍龍8 Gen2/8G/256G,2025-04-18 21:12:12.300
7,OPPO Find X5,2,19900.00,10,6.55吋/高通驍龍888/12G/256G,2023-07-18 21:12:12.300
8,Xiaomi 13,2,23900.00,12,6.36吋/高通驍龍8 Gen2/8G/256G,2024-04-18 21:12:12.300
9,Apple iPad Air,3,19900.00,8,10.9吋/M1晶片/64G,2025-04-18 21:12:12.300
10,Samsung Galaxy Tab S8,3,21900.00,6,11吋/高通驍龍8 Gen1/8G/128G,2025-04-18 21:12:12.300
11,Lenovo Tab P12 Pro,3,17900.00,5,12.6吋/高通驍龍870/8G/256G,2024-05-18 21:12:12.300
12,HUAWEI MatePad Pro,3,15900.00,7,10.8吋/麒麟990/8G/256G,2023-04-18 21:12:12.300
13,ASUS ROG Gaming PC,4,42900.00,4,i7-12700K/RTX 3070/32G/1TB SSD,2025-04-18 21:12:12.300
14,Acer Aspire TC,4,25900.00,6,i5-12400/16G/512G SSD,2024-04-18 21:12:12.300
15,HP Pavilion Desktop,4,23900.00,5,i5-12400/16G/512G SSD,2025-04-18 21:12:12.300
16,Apple Mac Mini M2,4,19900.00,8,M2晶片/8G/256G SSD,2025-04-18 21:12:12.300
17,ASUS ProArt PA278CV,5,12900.00,10,27吋/2K/IPS/專業色彩校準,2025-04-18 21:12:12.300
18,LG UltraGear 27GN800,5,9900.00,12,27吋/2K/144Hz/1ms/電競螢幕,2024-04-18 21:12:12.300
19,BenQ PD2705Q,5,13900.00,8,27吋/2K/IPS/設計專用,2025-04-18 21:12:12.300
20,Samsung Odyssey G5,5,10900.00,9,32吋/2K/144Hz/1ms/曲面電競螢幕,2023-03-11 21:12:12.300
